input,output,token_count
4_extracted.docx,"<fatos>
LUCAS RODRIGUES firmou ""Contrato de Compromisso de Venda e Compra de Bem Imóvel e Outros Pactos"" com CONSTRUÇÕES SUSTENTÁVEIS LTDA. O contrato previa a entrega do imóvel para dezembro de 2012, com cláusula de tolerância de 120 dias (cláusula 8.1). O autor efetuou pagamento de R$ 9.470,00 a título de comissão de corretagem em abril de 2010. A construtora entregou o ""habite-se"" em 29 de maio de 2013. O juízo reconheceu que a ré esteve em mora no período de 30 de abril de 2013 (término do prazo de tolerância) até 29 de maio de 2013 (data da concessão do ""habite-se""). O valor total do contrato era de R$ 235.530,00.
</fatos>

<pedidos>
1. Declarada parcialmente procedente a demanda para:

2. Declarar a mora da ré no período de 30/04/2013 até 29/05/2013, afastando a incidência de juros e correção monetária sobre o saldo devedor neste período;

3. Condenar a ré a ressarcir valores pagos a maior, com correção monetária desde a citação e juros de mora desde a sentença;

4. Condenar a ré ao pagamento de multa moratória de 2% conforme cláusula 9.1, com correção monetária desde 30/04/2013;

5. Condenar a ré ao pagamento de indenização por danos morais no valor de R$ 3.532,95, com correção monetária desde a sentença e juros de mora de 1% ao mês desde a citação;

6. Custas, despesas processuais e honorários advocatícios rateados meio a meio entre as partes.
</pedidos>",502
4_extracted.docx,"<fatos>
Lucas Rodrigues firmou ""Contrato de Compromisso de Venda e Compra de Bem Imóvel e Outros Pactos"" com Construções Sustentáveis LTDA, com previsão de entrega do imóvel para dezembro de 2012. O contrato previa prazo de tolerância de 120 dias em caso de atraso na entrega das obras (cláusula 8.1). O autor pagou R$ 9.470,00 a título de comissão de corretagem em abril de 2010. A ré esteve em mora no período de 30 de abril de 2013 até 29 de maio de 2013, quando foi concedido o ""habite-se"". O valor total do contrato era de R$ 235.530,00. A cláusula 9.1 do contrato previa multa moratória de 2% e juros de mora de 1% ao mês em caso de atraso no pagamento por parte do comprador, sem previsão de penalidade equivalente para a vendedora.
</fatos>

<pedidos>
1. Declarar a abusividade da cláusula 8.1 (prazo de tolerância de 120 dias) e da cláusula 6.2 do contrato;

2. Declarar indevida a aplicação da correção do saldo residual pelo INCC-M/FGV - IGPM após dezembro/2012 e condenar à devolução dos valores;

3. Subsidiariamente, substituir os índices pelo menor praticado no mercado;

4. Condenar ao pagamento de multa por mora contratual de 2% sobre o valor do contrato (R$ 4.710,60);

5. Condenar ao pagamento de danos morais no valor de R$ 23.553,00 (10% do valor do contrato);

6. Condenar ao pagamento dos valores gastos com aluguel durante o período de atraso;

7. Declarar a inexigibilidade e determinar a devolução em dobro da comissão de corretagem (R$ 18.940,00) ou alternativamente em forma simples (R$ 9.470,00);

8. Condenar ao pagamento de indenização correspondente à atualização conforme índices e juros do clube de investimento da bolsa de valores no período de março/2013 até 25/11/2013.
</pedidos>",616
4_extracted.docx,"<fatos>
Lucas Rodrigues ajuizou ação ordinária contra Construções Sustentáveis Ltda referente ao ""Contrato de Compromisso de Venda e Compra de Bem Imóvel e Outros Pactos"" firmado entre as partes. O contrato previa a entrega do imóvel para dezembro de 2012, com cláusula de tolerância de 120 dias em caso de atraso. O autor pagou R$ 9.470,00 a título de comissão de corretagem em abril de 2010. A construtora obteve o ""habite-se"" em 29 de maio de 2013. O juízo reconheceu que a ré esteve em mora no período de 30 de abril de 2013 até 29 de maio de 2013, quando foi concedido o ""habite-se"". O valor total do contrato era de R$ 235.530,00. O autor retirou dinheiro de aplicação em clube de investimentos antes da conclusão da obra por livre vontade.
</fatos>

<pedidos>
1. Declaração de abusividade do prazo de tolerância de 120 dias e da correção do saldo residual pelo INCC-M/FGV-IGPM após dezembro/2012, com devolução dos valores pagos;

2. Subsidiariamente, substituição dos índices pelo menor praticado no mercado;

3. Condenação ao pagamento de multa contratual de 2% sobre o valor do contrato (R$ 4.710,60);

4. Condenação por danos morais de R$ 23.553,00 (10% do valor do contrato);

5. Pagamento dos valores gastos com aluguel e encargos durante o atraso na entrega;

6. Declaração de inexigibilidade e devolução em dobro da comissão de corretagem (R$ 18.940,00) ou alternativamente devolução simples (R$ 9.470,00);

7. Indenização correspondente à atualização conforme índices e juros do clube de investimento da bolsa de valores no período de março/2013 até 25/11/2013.
</pedidos>",555
5_extracted.docx,"<fatos>
Rafael Carvalho ajuizou ação revisional de contrato de financiamento em face da Empresa Visionária de Ti, questionando a aplicação de juros capitalizados, taxas superiores à contratada, cobrança de comissão de permanência e tarifas consideradas ilegais. A instituição ré apresentou contestação defendendo a validade do contrato e a regularidade de suas cláusulas. Após saneamento do processo, foi realizada perícia contábil que apurou saldo devedor de R$ 590,00 atualizado até janeiro de 2014, com parcelas vencidas de R$ 55,11 entre janeiro e dezembro de 2014. O juízo reconheceu a aplicabilidade do CDC ao caso e determinou o afastamento da capitalização de juros do contrato, declarando a inconstitucionalidade do artigo 5º da MP 2.170-36/2001 por vícios formais e materiais. Quanto aos juros remuneratórios, não foi demonstrada abusividade em relação à taxa média de mercado. A comissão de permanência foi considerada devida no período de inadimplência, vedada sua cumulação com correção monetária, juros remuneratórios, moratórios e multa contratual. As cobranças de TAC e tarifa de cadastro foram declaradas abusivas e nulas por não corresponderem a serviços efetivamente prestados ao consumidor, representando mais de 10% do crédito liberado.
</fatos>

<pedidos>
1. Declaração de nulidade da capitalização de juros no contrato, ressalvada a capitalização anual;

2. Manutenção dos juros remuneratórios contratados por ausência de demonstração de abusividade em relação à taxa média de mercado;

3. Declaração da possibilidade de cobrança da comissão de permanência durante o período de inadimplência, observada a taxa média de mercado e o percentual contratual, vedada sua cumulação com correção monetária, juros remuneratórios, moratórios e multa contratual;

4. Declaração de nulidade da cobrança da TAC e tarifa de cadastro por abusividade;

5. Fixação do saldo devedor em R$ 590,00, atualizado até janeiro de 2014;

6. Fixação das parcelas vencidas entre janeiro e dezembro de 2014 em R$ 55,11;

7. Condenação do réu ao pagamento integral das custas, despesas processuais e honorários advocatícios fixados em 20% do valor da causa.
</pedidos>",669
5_extracted.docx,"<fatos>
Rafael Carvalho ajuizou ação revisional de contrato de financiamento em face da Empresa Visionária de Ti, questionando a aplicação de juros capitalizados, taxas superiores à contratada, cobrança de comissão de permanência e tarifas consideradas ilegais. A instituição ré, em contestação, defendeu a validade do contrato e a regularidade das cláusulas pactuadas entre as partes. Foi realizada perícia contábil que apurou saldo devedor de R$ 590,00, atualizado até janeiro de 2014, e parcelas vencidas de R$ 55,11 entre janeiro e dezembro de 2014. O juízo reconheceu a aplicabilidade do Código de Defesa do Consumidor ao caso e declarou a inconstitucionalidade do artigo 5º da Medida Provisória nº 2.170-36/2001, afastando a capitalização de juros por vícios formais e materiais, inclusive em razão da suspensão de sua eficácia por liminar na ADIN 2.316-1. Quanto aos juros remuneratórios, não foi demonstrada abusividade em relação à taxa média de mercado. A comissão de permanência foi considerada devida no período de inadimplência, vedada sua cumulação com correção monetária, juros remuneratórios, moratórios e multa contratual. As cobranças de TAC e tarifa de cadastro foram declaradas abusivas e nulas por não corresponderem a serviços efetivamente prestados ao consumidor, representando mais de 10% do crédito liberado.
</fatos>

<pedidos>
O juízo julgou parcialmente procedente a ação para:
1. Afastar a capitalização de juros do contrato, ressalvada a capitalização anual;
2. Manter os juros remuneratórios contratados por não demonstrada abusividade em relação à taxa média de mercado;
3. Permitir a cobrança de comissão de permanência no período de inadimplência, vedada cumulação com correção monetária, juros remuneratórios, moratórios e multa contratual, observada a taxa média de mercado e limitada ao percentual contratual;
4. Declarar a nulidade da cobrança da TAC e da tarifa de cadastro;
5. Reconhecer como devido o saldo devedor de R$ 590,00 (atualizado até janeiro/2014) e parcelas vencidas de R$ 55,11 (janeiro a dezembro/2014);
6. Condenar o réu ao pagamento integral das custas, despesas processuais e honorários advocatícios fixados em 20% do valor da causa.
</pedidos>",702
5_extracted.docx,"<fatos>
Rafael Carvalho ajuizou ação revisional de contrato de financiamento em face da Empresa Visionária de Ti, questionando a aplicação de juros capitalizados, taxas superiores à contratada, cobrança de comissão de permanência e tarifas consideradas ilegais. A ré apresentou contestação defendendo a validade do contrato e a regularidade das cláusulas pactuadas entre as partes. Após a réplica e o saneamento do processo, foi realizada perícia contábil que apurou saldo devedor de R$ 590,00, atualizado até janeiro de 2014, e parcelas vencidas de R$ 55,11 entre janeiro e dezembro de 2014. O juízo reconheceu a aplicabilidade do Código de Defesa do Consumidor ao caso, declarou a inconstitucionalidade do artigo 5º da Medida Provisória nº 2.170-36/2001 e afastou a capitalização dos juros com base no artigo 4º do Decreto 22.626/33. Não ficou demonstrada abusividade nas taxas de juros em relação à taxa média de mercado. A comissão de permanência foi considerada devida para o período de inadimplência, vedada sua cumulação com correção monetária, juros remuneratórios, juros moratórios e multa contratual. As cobranças de TAC e tarifa de cadastro foram declaradas abusivas e nulas por não corresponderem a serviços efetivamente prestados ao consumidor e representarem mais de 10% do crédito liberado.
</fatos>

<pedidos>
O juízo julgou parcialmente procedente a ação para:
1. Afastar a capitalização de juros do contrato, ressalvada a capitalização anual;
2. Manter as taxas de juros contratadas por não terem sido demonstradas como abusivas em relação à taxa média de mercado;
3. Permitir a cobrança de comissão de permanência durante o período de inadimplência, observada a taxa média de mercado apurada pelo Banco Central e limitada ao percentual contratual, vedada sua cumulação com correção monetária, juros remuneratórios, juros moratórios e multa contratual;
4. Declarar a nulidade da cobrança da TAC e da tarifa de cadastro;
5. Reconhecer como devido o saldo devedor de R$ 590,00 (atualizado até janeiro/2014) e parcelas vencidas de R$ 55,11 (janeiro a dezembro/2014);
6. Condenar o réu ao pagamento integral das custas, despesas processuais e honorários advocatícios fixados em 20% do valor da causa.
</pedidos>",705
8_extracted.docx,"<fatos>
Trata-se de ação judicial envolvendo contrato de transporte marítimo internacional entre duas empresas estrangeiras, onde a ré sustenta ausência de jurisdição brasileira em razão de cláusula de eleição de foro exclusivo estrangeiro. O contrato foi celebrado e executado integralmente no exterior, com carga embarcada na Argentina e descarregada em Hong Kong, conforme conhecimentos de embarque anexados aos autos. O contrato contém cláusula estabelecendo que qualquer ação judicial deveria ser ajuizada exclusivamente perante a justiça de Londres. Não há situação de vulnerabilidade entre as partes contratantes, que são empresas acostumadas às peculiaridades do transporte marítimo internacional. O caso não envolve questões de interesse público ou direitos indisponíveis. As partes, em pleno juízo de cognição quanto aos riscos e efeitos, optaram livremente pela inclusão da cláusula de eleição de foro internacional no contrato.
</fatos>

<pedidos>
A autoridade judicial julgou extinto o processo sem resolução do mérito, com fundamento no Artigo 485, incisos IV e VI, do Código de Processo Civil, reconhecendo:

1. O afastamento da incidência do Código de Defesa do Consumidor ao contrato;

2. A incompetência da jurisdição brasileira para processar e julgar a ação em razão da cláusula de eleição de foro exclusivo estrangeiro;

3. A validade da cláusula contratual que estabelece a jurisdição exclusiva de Londres;

4. A condenação da parte autora ao pagamento das despesas processuais e honorários advocatícios fixados em 15% sobre o valor da causa.
</pedidos>",447
8_extracted.docx,"<fatos>
No caso em análise, trata-se de pretensão voltada ao reconhecimento da ausência de jurisdição brasileira em contrato de transporte marítimo internacional que continha cláusula de eleição de foro exclusivo estrangeiro. O contrato foi celebrado entre duas empresas estrangeiras, com cumprimento integral no exterior. A carga avariada foi embarcada na Argentina e descarregada em Hong Kong, conforme demonstram os conhecimentos de embarque juntados aos autos. O contrato de transporte marítimo internacional possuía cláusula estabelecendo que toda e qualquer ação judicial deveria ser ajuizada exclusivamente perante a justiça de Londres, tendo as partes optado expressamente pela exclusão da jurisdição brasileira. Não foi verificada situação de vulnerabilidade entre as partes envolvidas no negócio, sendo estas capazes de analisar os riscos da contratação e ponderar a transferência do custo ao preço final do produto. O caso não envolve qualquer interesse público ou direito indisponível, tratando-se de relação entre empresas acostumadas às peculiaridades do transporte marítimo internacional.
</fatos>

<pedidos>
O juízo julgou extinto o processo sem resolução do mérito, com fundamento no Artigo 485, incisos IV e VI, do Código de Processo Civil, reconhecendo:

1. O afastamento da incidência do Código de Defesa do Consumidor ao caso;

2. A validade da cláusula de eleição de foro estrangeiro exclusivo (Londres) presente no contrato de transporte marítimo internacional;

3. A ausência de competência da jurisdição brasileira para processar e julgar a ação;

4. A condenação da Parte Autora ao pagamento das despesas processuais e honorários advocatícios fixados em 15% sobre o valor da causa.
</pedidos>",477
8_extracted.docx,"<fatos>
O caso envolve um contrato de transporte marítimo internacional celebrado entre duas empresas estrangeiras, com cláusula de eleição de foro exclusivo estrangeiro determinando que todas as ações judiciais deveriam ser ajuizadas exclusivamente perante a justiça de Londres. A carga foi embarcada na Argentina e descarregada em Hong Kong, conforme demonstram os conhecimentos de embarque anexados aos autos, tendo o cumprimento do contrato ocorrido integralmente no exterior. As partes contratantes são empresas acostumadas às peculiaridades do transporte marítimo internacional, não havendo situação de vulnerabilidade na relação contratual. O juízo afastou a incidência do Código de Defesa do Consumidor por não verificar hipossuficiência entre as partes e por se tratar de consumo intermediário, onde o custo do serviço é repassado ao produto final. A autoridade judicial entendeu que, como as partes optaram livremente pela jurisdição internacional em situação que não envolve interesse público ou direito indisponível, não caberia analisar as regras de competência da Justiça Brasileira.
</fatos>

<pedidos>
O juízo julgou extinto o processo sem resolução do mérito, com fundamento no Artigo 485, incisos IV e VI, do Código de Processo Civil, reconhecendo a incompetência da jurisdição brasileira em razão da cláusula de eleição de foro estrangeiro exclusivo. Determinou que a parte autora sucumbente arcasse com as despesas processuais e honorários advocatícios fixados em 15% sobre o valor da causa.
</pedidos>",423
6_extracted.docx,"<fatos>
A autora Mundo Empresarial Distribuidora formalizou com a requerida Techsoluções LTDA contrato de compra e venda de veículos em 27/03/2013, tendo a tradição dos veículos ocorrido em 01/03/2012. Por solicitação da ré, a autora outorgou procuração pública em cartório ao sócio proprietário Sr. André Melo para transferência dos bens. Pelo contrato, a ré ficaria responsável pelo pagamento e quitação do contrato de alienação junto ao Banco Volkswagen S.A, bem como por todos os custos de IPVA, licenciamento, transferência, multas e outras pendências dos veículos após 15/02/2012.

Restou incontroverso que os veículos foram entregues ao Sr. André, conforme demonstrado pela prova oral e pela procuração de p. 32/33. A procuração, datada de 24/07/2012, corrobora que a entrega ocorreu no ano anterior à assinatura do contrato. O contrato foi assinado por Gustavo Lopes, sócio da empresa requerida, conforme documentos de p. 238/241 e prova oral.

Em depoimento, o Sr. André, proprietário da ré, admitiu que seu funcionário Gustavo Lopes simulou o contrato para obter ANTT, e que cobrou diversas vezes a Mundo Empresarial para quitação dos caminhões. O Sr. André veio até Votuporanga-SP, celebrou verbalmente o negócio em 2012 e, após, com o contrato já assinado pelo sócio Gustavo Lopes (com firma reconhecida em Tabaporã-MT), formalizou a avença em 2013.

Nenhuma das partes providenciou a comunicação da venda ao DETRAN dentro do prazo legal. Os veículos possuem gravame de financiamento, não havendo demonstração de quitação ou concordância da instituição financeira para transferência.
</fatos>

<pedidos>
1. Determinação para que a requerida Techsoluções LTDA providencie a quitação das parcelas referentes aos financiamentos dos veículos descritos na inicial;

2. Determinação para que a requerida efetue o pagamento dos impostos e taxas incidentes sobre os veículos a partir da data da tradição (fevereiro/2012);

3. Condenação da requerida ao pagamento de 70% das despesas processuais abertas ou suportadas pela autora;

4. Condenação da requerida ao pagamento de honorários advocatícios de 10% sobre o valor total da condenação (quitação do contrato) em favor do advogado da parte autora;

5. Condenação da autora ao pagamento de honorários advocatícios de 10% sobre o proveito econômico (diferença entre o pedido e o obtido) em favor do advogado da parte ré.
</pedidos>",765
